RRUFFID,CODID,RMSE
R050074,9010326,3.609860992731197
R050074,9013272,3.639297251410627
R050074,9013273,3.780267433062065
R050074,9013274,3.8056529328983797
R050074,9013275,3.8188471939247863
R050074,9013276,3.7968943883086665
R050074,9013277,3.728899379693852
R050074,9013278,3.7895990540439874
R050074,9013279,3.8257520583967684
R061085,1010215,4.539268979220775
R061085,9006448,4.49750995546798
R061085,9006449,4.292683708933795
R061085,9006450,4.344894609973893
R061085,9006451,4.348497220545859
R061085,9006452,4.4350883497433
R061085,9006453,4.5506895426723215
R061085,9006454,4.563405485298268
R061085,9006935,4.504588083068597
R061085,9006936,4.519555845321836
R061085,9006937,4.504628561345968
R061085,9006938,4.50580103929726
R061085,9006939,4.528760289084376
R061085,9006940,4.538524828261431
R061085,9006941,4.537812761521228
R061085,9013636,4.568944932645592
R061085,9013637,4.572925891990036
R061085,9013638,5.109701751714478
R061085,2106179,4.556188701686171
R061085,4124694,4.504537157542305
R061100,1010215,3.836612227494977
R061100,9006448,3.8932323398566937
R061100,9006449,3.8326906232533506
R061100,9006450,3.676598983107681
R061100,9006451,3.6215999639607674
R061100,9006452,3.7077066790009927
R061100,9006453,3.871269888175866
R061100,9006454,3.9036223321362735
R061100,9006935,3.8966106205329507
R061100,9006936,3.901980212099927
R061100,9006937,3.8961655950483567
R061100,9006938,3.896067558454361
R061100,9006939,3.90009368586858
R061100,9006940,3.9025593737908557
R061100,9006941,3.903816139182877
R061100,9013636,3.9080653132365484
R061100,9013637,3.9263500336907473
R061100,9013638,4.578810828433762
R061100,2106179,3.9156150790221247
R061100,4124694,3.896765110812392
R070174,1011351,4.267745996195936
R070174,1011382,4.329987152171143
R070174,9005930,4.0002860717494615
R070174,9005931,4.313534486071301
R070174,9005932,4.320161071140957
R070174,9005933,4.321807263666552
R070174,9005934,4.322195590333547
R070174,9005935,4.323959510467305
R070174,9005936,4.3254478697012155
R070174,9005937,4.3205476336909046
R070174,9005938,4.325236519516538
R070174,9005939,4.320687789900224
R070174,9005940,4.314692816044688
R070174,9005941,4.315381047375471
R070174,9005942,4.32015427043909
R070174,9005943,4.323404357042529
R070174,9005944,4.321766481598748
R070174,9005945,4.319488067926386
R070174,9008675,3.993354249424747
R070174,9008854,4.332183946411377
R070174,9008871,4.5820439444750045
R070174,1538620,4.1401620443721034
R070174,1538836,4.592033686286926
R040068,9000525,4.541842379753152
R040068,9000526,4.376384355573998
R040068,9000527,4.423162146884426
R040068,9000528,4.573368259590568
R040068,9000529,4.6082916071832685
R040068,9000530,4.579891774958875
R040068,9000531,4.602037392570061
R040068,9000584,4.518365575672316
R040068,9000585,4.495703090645312
R040068,9000586,4.477507582905996
R040068,9000702,4.5193141749844665
R040068,9000703,4.522872480813883
R040068,9000704,4.524872555408009
R040068,9000705,4.560010894641927
R040068,9000706,4.626195505132505
R040068,9000707,4.787050767979584
R040068,9000708,4.72397476021872
R040068,9000993,4.063996656759015
R040068,9001257,4.180720212650091
R040068,9001630,4.159296389952568
R040068,9001631,4.13807822320657
R040068,9001632,4.060689339396016
R040068,9001633,4.480605891861142
R040068,9001634,4.5461515994795585
R040068,9001635,4.5210134035627565
R040068,9002196,4.178510027884965
R040068,9002197,4.038595181043049
R040068,9002198,4.213486488281009
R040068,9002199,4.113987661944381
R040068,9002200,4.053727655916374
R040068,9002201,4.157534934608906
R040068,9002202,4.156467492808153
R040068,9002203,4.507004481024015
R040068,9003700,4.582006436661531
R040068,9003701,4.534672575442488
R040068,9003702,4.550640959146037
R040068,1521704,4.626041679606878
R040068,2310574,4.460419448759847
R040068,2107372,4.176978823002417
R040068,1544370,4.420880591453806
R040129,9000525,4.618317896975763
R040129,9000526,4.470259541933909
R040129,9000527,4.517873603880139
R040129,9000528,4.6354062939970895
R040129,9000529,4.696905255781668
R040129,9000530,4.707804083970918
R040129,9000531,4.712778610302408
R040129,9000584,4.541606934511759
R040129,9000585,4.613879868021545
R040129,9000586,4.596429660207121
R040129,9000702,4.625620745202274
R040129,9000703,4.511044069711325
R040129,9000704,4.666097730494927
R040129,9000705,4.701396162477242
R040129,9000706,4.680317268867998
R040129,9000707,4.872713128005294
R040129,9000708,4.845313909572544
R040129,9000993,4.289661764446672
R040129,9001257,4.039138916641984
R040129,9001630,4.099298481912402
R040129,9001631,4.081201155059197
R040129,9001632,4.217842694612429
R040129,9001633,4.496017926588921
R040129,9001634,4.621925289637698
R040129,9001635,4.6203389809867925
R040129,9002196,4.063752750061306
R040129,9002197,4.1991119504402485
R040129,9002198,4.289484942278271
R040129,9002199,4.27559042786851
R040129,9002200,4.20073921451216
R040129,9002201,4.347268354077473
R040129,9002202,4.210571934960162
R040129,9002203,4.582939697465566
R040129,9003700,4.688475899677014
R040129,9003701,4.645872258860777
R040129,9003702,4.65627641109217
R040129,1521704,4.680602880943617
R040129,2310574,4.541451471549679
R040129,2107372,4.073210907251215
R040129,1544370,4.543210185526477
R050253,9000525,3.8468551196059115
R050253,9000526,3.7608307113160366
R050253,9000527,3.68627669765879
R050253,9000528,3.7701557925480667
R050253,9000529,3.8747429051873774
R050253,9000530,3.892587883916698
R050253,9000531,3.8950418985946307
R050253,9000584,3.6700302038795796
R050253,9000585,3.8422707409582197
R050253,9000586,3.788414366550853
R050253,9000702,3.8714770307429958
R050253,9000703,3.5966782704835665
R050253,9000704,3.8506112611718555
R050253,9000705,3.89190471159591
R050253,9000706,3.8865701991693307
R050253,9000707,4.083395829162933
R050253,9000708,4.053482254687403
R050253,9000993,3.5191476546880445
R050253,9001257,3.2225177465315347
R050253,9001630,3.252109314904707
R050253,9001631,3.2194672818825745
R050253,9001632,3.4742376424853987
R050253,9001633,3.6442303094331936
R050253,9001634,3.816930480374044
R050253,9001635,3.781645527332845
R050253,9002196,3.3097486241535887
R050253,9002197,3.4276767755809003
R050253,9002198,3.4500849430044878
R050253,9002199,3.545707124124853
R050253,9002200,3.402938589928976
R050253,9002201,3.5979572435906997
R050253,9002202,3.385705825502902
R050253,9002203,3.8131714837406547
R050253,9003700,3.832198878555826
R050253,9003701,3.785017249924087
R050253,9003702,3.7825125544486977
R050253,1521704,3.8793072536474154
R050253,2310574,3.7850558551579945
R050253,2107372,3.2418467601183796
R050253,1544370,3.6407184814434803
R050402,9000525,4.141151863620646
R050402,9000526,4.044920315456207
R050402,9000527,4.013898327407439
R050402,9000528,4.160854921185901
R050402,9000529,4.221120483145712
R050402,9000530,4.219974155550948
R050402,9000531,4.2302943354175335
R050402,9000584,4.054937389551867
R050402,9000585,4.147354675101507
R050402,9000586,4.11035038149269
R050402,9000702,4.174246969879594
R050402,9000703,4.012087000635278
R050402,9000704,4.1794560266932095
R050402,9000705,4.218564911874725
R050402,9000706,4.216940509909249
R050402,9000707,4.4091691833490225
R050402,9000708,4.3712689076907845
R050402,9000993,3.839984281479196
R050402,9001257,3.5588696202335774
R050402,9001630,3.5814473546240655
R050402,9001631,3.557741465985206
R050402,9001632,3.7737025095702874
R050402,9001633,4.027066910735689
R050402,9001634,4.159297081974969
R050402,9001635,4.139473246062566
R050402,9002196,3.5867145234704583
R050402,9002197,3.714225802229393
R050402,9002198,3.8384886150756046
R050402,9002199,3.796184745389775
R050402,9002200,3.7163782847164795
R050402,9002201,3.860681587025442
R050402,9002202,3.729727797421868
R050402,9002203,4.115650208143229
R050402,9003700,4.194987090484792
R050402,9003701,4.147440713096781
R050402,9003702,4.155965660604491
R050402,1521704,4.184387167265952
R050402,2310574,4.076364596364392
R050402,2107372,3.5691695752903687
R050402,1544370,4.030253366680614
R060054,9000525,5.017710496108753
R060054,9000526,4.786804343853343
R060054,9000527,4.5307705832442
R060054,9000528,4.739212945963768
R060054,9000529,4.879347207761083
R060054,9000530,4.895276529662671
R060054,9000531,4.89866645928948
R060054,9000584,4.837957489084071
R060054,9000585,4.900739535875211
R060054,9000586,4.862345954511418
R060054,9000702,5.0017489640496855
R060054,9000703,4.615628345105758
R060054,9000704,4.802655561742187
R060054,9000705,4.917678834900152
R060054,9000706,4.881199918868532
R060054,9000707,5.056610088812835
R060054,9000708,5.112048777226611
R060054,9000993,4.7969323097079615
R060054,9001257,4.72635724950776
R060054,9001630,4.7028702939928095
R060054,9001631,4.680826947150464
R060054,9001632,4.8179293698522185
R060054,9001633,4.971404316630319
R060054,9001634,5.054910734096923
R060054,9001635,5.017759931786625
R060054,9002196,4.7306814981169865
R060054,9002197,4.715270867997915
R060054,9002198,4.698897090427785
R060054,9002199,4.7958838583722985
R060054,9002200,4.8082510060869295
R060054,9002201,4.80743748870902
R060054,9002202,4.773194014250178
R060054,9002203,5.057476758166428
R060054,9003700,5.045551035022135
R060054,9003701,5.026951881103596
R060054,9003702,5.036009328474678
R060054,1521704,5.027740450925633
R060054,2310574,4.949205873277717
R060054,2107372,4.722216276566577
R060054,1544370,4.819302741700125
R070268,9000525,3.4135484533624307
R070268,9000526,3.274893434501594
R070268,9000527,3.41401312152327
R070268,9000528,3.398421570959194
R070268,9000529,3.430671267044515
R070268,9000530,3.4775690926144813
R070268,9000531,3.485148480952364
R070268,9000584,3.346449831539377
R070268,9000585,3.3772825958646093
R070268,9000586,3.403199735391855
R070268,9000702,3.405874933951482
R070268,9000703,3.4296278890600167
R070268,9000704,3.3345061283913258
R070268,9000705,3.464169143527597
R070268,9000706,3.492919922762649
R070268,9000707,3.6953629113622464
R070268,9000708,3.654024247772697
R070268,9000993,3.0995410731797
R070268,9001257,3.134819171589972
R070268,9001630,3.173067172134987
R070268,9001631,3.132637949215066
R070268,9001632,2.9216435179178477
R070268,9001633,3.358460591804737
R070268,9001634,3.3689323477911133
R070268,9001635,3.372828194378723
R070268,9002196,3.158512646142605
R070268,9002197,3.162623172598552
R070268,9002198,3.1849227351939025
R070268,9002199,3.127595506748946
R070268,9002200,2.933759377021162
R070268,9002201,3.2120067757981343
R070268,9002202,2.9580479754719518
R070268,9002203,3.2883778842096096
R070268,9003700,3.413520482710488
R070268,9003701,3.330407837690081
R070268,9003702,3.3516787868592446
R070268,1521704,3.478778292028369
R070268,2310574,3.210003183044484
R070268,2107372,3.1803861295669176
R070268,1544370,3.178808465928128
R050043,1542087,27.82156364010649
R060418,1542087,24.91395946049784
R080044,1542087,16.300838289610866
R080092,1542087,10.18568248321095
R040006,9001295,4.120415497540806
R040067,9001295,6.929586809192454
R050258,1008755,4.554774876619305
R050258,1008759,4.591951017358517
R050258,1010329,3.9692120905995556
R050258,1010924,3.6238448633154823
R050258,1010987,4.33257185224414
R050258,1011204,4.08824655816287
R050258,2101671,3.978686989212038
R050258,9000710,4.129698767766111
R050258,9000711,4.129328930108652
R050258,9000712,4.131576820442729
R050258,9000713,4.130057516064192
R050258,9000714,4.127704170325225
R050258,9000715,3.9398334673503816
R050258,9000716,4.25441213876032
R050258,9000717,4.306799702343888
R050258,9000718,4.341947859242855
R050258,9000719,4.360811907821971
R050258,9000720,4.57848512393854
R050258,9000721,4.605213775088922
R050258,9000722,4.5585118730694925
R050258,9000919,3.898487028811693
R050258,9000920,3.964882468243617
R050258,9000921,4.18483674846508
R050258,9000922,4.2215916101057385
R050258,9001408,4.130438498034052
R050258,9001831,4.634381516663904
R050258,9001832,4.5473981261567324
R050258,9001833,4.583588537724756
R050258,9001834,4.660644962745177
R050258,9001835,4.534601096784173
R050258,9001836,4.6566401364646195
R050258,9001837,4.661014572908494
R050258,9001838,4.641263389962869
R050258,9001839,4.65252431513551
R050258,9001840,4.659703745045646
R050258,9003985,4.135152250906172
R050258,9003986,4.141008237198474
R050258,9003987,4.1108597035225305
R050258,9003988,4.057502673924995
R050258,9003989,4.069329376515694
R050258,9003990,3.8225515976234314
R050258,9003991,3.968237913302879
R050258,9003992,4.179499388248476
R050258,9003993,4.250653547978753
R050258,9003994,4.213743665951638
R050258,9003995,4.29505840307293
R050258,9003996,4.366776731430337
R050258,9003997,4.341438825868495
R050258,9006525,4.1349853384717665
R050258,9006526,4.1284559836806265
R050258,9006527,4.13354219881603
R050258,9006528,4.127527424032296
R050258,9006529,4.130867479736139
R050258,2310328,4.149685156088274
R050258,2310329,4.193986543544572
R050258,2310330,4.399003106974512
R050258,1532332,4.11773716136073
R050258,1542089,4.634325419319649
R050449,1008755,5.374747971489369
R050449,1008759,5.4061136382314725
R050449,1010329,4.882173092331293
R050449,1010924,4.633425031407815
R050449,1010987,5.182382124917092
R050449,1011204,4.9805479077543255
R050449,2101671,4.500015568305259
R050449,9000710,5.030253450696449
R050449,9000711,5.0302402877572785
R050449,9000712,5.028113523136142
R050449,9000713,5.03059484579286
R050449,9000714,5.023366937970927
R050449,9000715,4.458135859643377
R050449,9000716,4.980886402591051
R050449,9000717,5.067760459410378
R050449,9000718,5.115658213776341
R050449,9000719,5.158681928973945
R050449,9000720,5.39402501834523
R050449,9000721,5.41688066885803
R050449,9000722,5.377726503764652
R050449,9000919,4.912056351673265
R050449,9000920,4.960314289351507
R050449,9000921,5.065491066401142
R050449,9000922,5.088350645248954
R050449,9001408,5.030150789413693
R050449,9001831,5.443056986319549
R050449,9001832,5.3701068218218255
R050449,9001833,5.404239371455391
R050449,9001834,5.461581381180358
R050449,9001835,5.352442631147503
R050449,9001836,5.462522088116593
R050449,9001837,5.4614522574486735
R050449,9001838,5.448486033035836
R050449,9001839,5.454181694760364
R050449,9001840,5.464121538669148
R050449,9003985,5.033719202124314
R050449,9003986,5.037734407216848
R050449,9003987,5.009264935356417
R050449,9003988,4.965758096865523
R050449,9003989,4.968878462179625
R050449,9003990,4.570914543191641
R050449,9003991,4.961822795248078
R050449,9003992,5.05173032672995
R050449,9003993,5.085273469221087
R050449,9003994,5.085751443881893
R050449,9003995,5.171017302432481
R050449,9003996,5.229322485801947
R050449,9003997,5.201834625168688
R050449,9006525,5.033833248122611
R050449,9006526,5.0288853645484215
R050449,9006527,5.029428775110298
R050449,9006528,5.025086531052336
R050449,9006529,5.025159581332587
R050449,2310328,5.036786789054934
R050449,2310329,5.0461126856072624
R050449,2310330,5.256413074335568
R050449,1532332,5.02028501048025
R050449,1542089,5.436734941536322
R050561,1008755,4.543542639883619
R050561,1008759,4.580615883353275
R050561,1010329,3.9822098630063905
R050561,1010924,3.756507866887711
R050561,1010987,4.319779474360593
R050561,1011204,4.086651812131283
R050561,2101671,3.740065978115142
R050561,9000710,4.141275285746779
R050561,9000711,4.141843618421452
R050561,9000712,4.142773989267425
R050561,9000713,4.142137191070243
R050561,9000714,4.138414698238822
R050561,9000715,3.6510326488075147
R050561,9000716,4.230918946150296
R050561,9000717,4.27190353180714
R050561,9000718,4.31665362551789
R050561,9000719,4.340953926116235
R050561,9000720,4.586026837167897
R050561,9000721,4.6098830849627825
R050561,9000722,4.562347026671526
R050561,9000919,4.0822196962274075
R050561,9000920,4.148350882110122
R050561,9000921,4.2384190596048885
R050561,9000922,4.2841111857365135
R050561,9001408,4.141843292898002
R050561,9001831,4.64128409304012
R050561,9001832,4.544696474531554
R050561,9001833,4.5902197269683045
R050561,9001834,4.665350923528884
R050561,9001835,4.542072389235838
R050561,9001836,4.657436671821046
R050561,9001837,4.6469122345814
R050561,9001838,4.637649133992
R050561,9001839,4.658058012285023
R050561,9001840,4.671007618349422
R050561,9003985,4.146003837298663
R050561,9003986,4.133103901778331
R050561,9003987,4.115854870129708
R050561,9003988,4.067984525206242
R050561,9003989,4.0567352868199125
R050561,9003990,3.7511767280402717
R050561,9003991,4.146830324744139
R050561,9003992,4.217986428469528
R050561,9003993,4.274066591822031
R050561,9003994,4.275724348881344
R050561,9003995,4.3523935181807225
R050561,9003996,4.390535841366872
R050561,9003997,4.35172890921029
R050561,9006525,4.145116451085528
R050561,9006526,4.137637254703441
R050561,9006527,4.117525014557164
R050561,9006528,4.125879457451653
R050561,9006529,4.1369951234622775
R050561,2310328,4.149001691737987
R050561,2310329,4.188555958744701
R050561,2310330,4.4216199970537815
R050561,1532332,4.13092633941985
R050561,1542089,4.637378088753606
R050626,1008755,4.233661618917664
R050626,1008759,4.276223810611308
R050626,1010329,3.659902076664928
R050626,1010924,3.403561999232352
R050626,1010987,3.9897643204157065
R050626,1011204,3.719148901970525
R050626,2101671,3.425136178243736
R050626,9000710,3.7683931430821187
R050626,9000711,3.76731528173501
R050626,9000712,3.7691766752913183
R050626,9000713,3.768527236155355
R050626,9000714,3.763283419152538
R050626,9000715,3.5117316377580394
R050626,9000716,3.8877979928461492
R050626,9000717,3.9422509483800146
R050626,9000718,3.971344942327938
R050626,9000719,3.991937575776049
R050626,9000720,4.265112248027637
R050626,9000721,4.268614015003258
R050626,9000722,4.246885990700214
R050626,9000919,3.8586746156615814
R050626,9000920,3.936961558933513
R050626,9000921,3.9439964396429033
R050626,9000922,3.947152925818737
R050626,9001408,3.7661962336031967
R050626,9001831,4.322155181082048
R050626,9001832,4.233797764370035
R050626,9001833,4.2575163229590185
R050626,9001834,4.347963708504508
R050626,9001835,4.212594726933058
R050626,9001836,4.351674197756627
R050626,9001837,4.348288680439621
R050626,9001838,4.311902262014988
R050626,9001839,4.334965679671466
R050626,9001840,4.348245790158526
R050626,9003985,3.7705160961904753
R050626,9003986,3.7779367085022177
R050626,9003987,3.7460553071292386
R050626,9003988,3.6896179809597904
R050626,9003989,3.7017534003665973
R050626,9003990,3.69736855523258
R050626,9003991,3.9389832075174134
R050626,9003992,3.9204642286697187
R050626,9003993,3.97277854704691
R050626,9003994,3.935596275422678
R050626,9003995,4.018945924405316
R050626,9003996,4.043040533369171
R050626,9003997,3.999510034330436
R050626,9006525,3.7707377871268952
R050626,9006526,3.763839422976728
R050626,9006527,3.769552885486664
R050626,9006528,3.7669800390312504
R050626,9006529,3.765922951468017
R050626,2310328,3.788211283548921
R050626,2310329,3.833497675157647
R050626,2310330,4.079335987490867
R050626,1532332,3.754727942698773
R050626,1542089,4.312578495679039
R060212,1008755,6.24884813769517
R060212,1008759,6.27601931397268
R060212,1010329,5.843974295545327
R060212,1010924,5.652068512676096
R060212,1010987,6.084395316392709
R060212,1011204,5.886368238563449
R060212,2101671,5.437005550792063
R060212,9000710,5.956331364626364
R060212,9000711,5.9558949907662555
R060212,9000712,5.958019556606104
R060212,9000713,5.957501247779127
R060212,9000714,5.955874394046957
R060212,9000715,5.49367635342293
R060212,9000716,5.62651293778211
R060212,9000717,5.821946454260767
R060212,9000718,5.892939508161722
R060212,9000719,5.981646743683989
R060212,9000720,6.271678447422045
R060212,9000721,6.289364248056797
R060212,9000722,6.264887805348391
R060212,9000919,5.8582352900778
R060212,9000920,5.898745515077831
R060212,9000921,5.9840907765646785
R060212,9000922,6.049875471418028
R060212,9001408,5.953810171409161
R060212,9001831,6.3122170539475855
R060212,9001832,6.253139712924565
R060212,9001833,6.273395644241626
R060212,9001834,6.337260803711409
R060212,9001835,6.240322752623931
R060212,9001836,6.335230902668442
R060212,9001837,6.321539001300275
R060212,9001838,6.316556325147757
R060212,9001839,6.333884152951548
R060212,9001840,6.329528890026948
R060212,9003985,5.956911164399817
R060212,9003986,5.957733982319039
R060212,9003987,5.9324368122403
R060212,9003988,5.895895487370225
R060212,9003989,5.883485905748362
R060212,9003990,5.542143113988011
R060212,9003991,5.895380601378476
R060212,9003992,5.975943437666376
R060212,9003993,6.0112142240201685
R060212,9003994,6.046534606302815
R060212,9003995,6.119603316422766
R060212,9003996,6.13723820372906
R060212,9003997,6.101540592173353
R060212,9006525,5.955404325396982
R060212,9006526,5.950992698032629
R060212,9006527,5.951605436797679
R060212,9006528,5.948472115879822
R060212,9006529,5.938946823015773
R060212,2310328,5.962233131112175
R060212,2310329,5.922664265249885
R060212,2310330,6.117181449987693
R060212,1532332,5.948318456095615
R060212,1542089,6.314091867265811
R040119,1008755,4.011914788941606
R040119,1008759,4.003330238784026
R040119,1010329,3.8024150079040804
R040119,1010924,3.9701332420925075
R040119,1010987,3.967216961047004
R040119,1011204,3.955420278601522
R040119,2101671,4.271651651871869
R040119,9000710,3.991841292320384
R040119,9000711,3.9892021376275415
R040119,9000712,3.985946434966818
R040119,9000713,3.9731182888059124
R040119,9000714,3.987583462024134
R040119,9000715,4.270504172079904
R040119,9000716,4.2703922912928025
R040119,9000717,4.257915028588897
R040119,9000718,4.276817928941099
R040119,9000719,4.270085963045035
R040119,9000720,3.9527244437495987
R040119,9000721,4.408537899131112
R040119,9000722,4.428347449998567
R040119,9000919,4.1889934094635715
R040119,9000920,4.266863928219717
R040119,9000921,4.262560389138176
R040119,9000922,4.234145072501002
R040119,9001408,3.996028379453815
R040119,9001831,4.069194043237838
R040119,9001832,3.944621406911739
R040119,9001833,4.3335840153789675
R040119,9001834,4.48733823250859
R040119,9001835,4.399840338317575
R040119,9001836,3.931464641284134
R040119,9001837,4.100560389837959
R040119,9001838,4.31263875833782
R040119,9001839,4.474539778774576
R040119,9001840,4.5184602694809515
R040119,9003985,4.00106386957073
R040119,9003986,3.761030372112356
R040119,9003987,3.9681044760455895
R040119,9003988,3.9266314430363454
R040119,9003989,3.789126820246406
R040119,9003990,4.27350290090048
R040119,9003991,4.2691424934227875
R040119,9003992,4.250838367906167
R040119,9003993,4.259970994108728
R040119,9003994,4.226467668464497
R040119,9003995,4.250826241213089
R040119,9003996,4.259723695849724
R040119,9003997,4.229461622740321
R040119,9006525,3.9993253914327527
R040119,9006526,3.953283754697999
R040119,9006527,3.792232662539293
R040119,9006528,3.9268344770705625
R040119,9006529,3.9972964439899252
R040119,2310328,3.9959626630756393
R040119,2310329,4.087136788955263
R040119,2310330,4.291752937278726
R040119,1532332,3.9819310532038377
R040119,1542089,4.067142628149544
R050450,1008755,4.645158911804779
R050450,1008759,4.629422582148417
R050450,1010329,4.60963087213792
R050450,1010924,4.778771822335236
R050450,1010987,4.716107813852506
R050450,1011204,4.7699186589726965
R050450,2101671,5.0291706705158035
R050450,9000710,4.8019227095730015
R050450,9000711,4.7918365610993465
R050450,9000712,4.799090204699179
R050450,9000713,4.777763436586068
R050450,9000714,4.786251189759911
R050450,9000715,5.0316033238798035
R050450,9000716,5.029759706315517
R050450,9000717,5.023896637787224
R050450,9000718,5.036759388472482
R050450,9000719,5.032012190106394
R050450,9000720,4.460706796688842
R050450,9000721,5.066436236982913
R050450,9000722,5.134797859273352
R050450,9000919,4.956626350195096
R050450,9000920,5.021232375356092
R050450,9000921,5.017905999303791
R050450,9000922,4.998170160091409
R050450,9001408,4.796508866730558
R050450,9001831,4.597158847752708
R050450,9001832,4.573451698426244
R050450,9001833,5.045971228484605
R050450,9001834,5.191333029954851
R050450,9001835,5.132939885712356
R050450,9001836,4.468138913769123
R050450,9001837,4.718666102416949
R050450,9001838,5.031259687169721
R050450,9001839,5.183149046215244
R050450,9001840,5.240663992313392
R050450,9003985,4.798377255164563
R050450,9003986,4.585762414768043
R050450,9003987,4.78703893663698
R050450,9003988,4.7362256498936794
R050450,9003989,4.610460455021045
R050450,9003990,5.031764837376444
R050450,9003991,5.027213854994981
R050450,9003992,5.008815226831525
R050450,9003993,5.019788415456633
R050450,9003994,4.992079522265838
R050450,9003995,5.006552727413548
R050450,9003996,5.016666935438222
R050450,9003997,4.9956121376892435
R050450,9006525,4.798081725227338
R050450,9006526,4.725471175820101
R050450,9006527,4.682185803366298
R050450,9006528,4.770079093532571
R050450,9006529,4.8032977162491495
R050450,2310328,4.8128262442622525
R050450,2310329,4.870913393759385
R050450,2310330,5.047770783916713
R050450,1532332,4.7924398733993305
R050450,1542089,4.584419550079599
R060080,1008755,4.383660701350556
R060080,1008759,4.42366717047634
R060080,1010329,3.851767448820703
R060080,1010924,3.9091284315039805
R060080,1010987,4.13462075031229
R060080,1011204,3.8938107419709973
R060080,2101671,4.212407457782273
R060080,9000710,3.3713036468067723
R060080,9000711,3.7801017602772427
R060080,9000712,3.8475371185805924
R060080,9000713,3.897132667903361
R060080,9000714,3.9133628475980085
R060080,9000715,4.21331934775687
R060080,9000716,4.213206627058863
R060080,9000717,4.19843963783409
R060080,9000718,4.209520922000806
R060080,9000719,4.199076848506914
R060080,9000720,4.39063629291539
R060080,9000721,4.383871025488382
R060080,9000722,4.334124065464227
R060080,9000919,4.130610900238668
R060080,9000920,4.210780547139476
R060080,9000921,4.215588561516544
R060080,9000922,4.185201959738507
R060080,9001408,3.622493360541115
R060080,9001831,4.446347851929835
R060080,9001832,4.380302930869425
R060080,9001833,4.392637770290226
R060080,9001834,4.457831815432081
R060080,9001835,4.340751523570571
R060080,9001836,4.493493557586903
R060080,9001837,4.494021392214682
R060080,9001838,4.457497194204094
R060080,9001839,4.473841629317555
R060080,9001840,4.45077020221721
R060080,9003985,3.5947890041631267
R060080,9003986,3.9004217073588228
R060080,9003987,3.9112023359718897
R060080,9003988,3.81136097411315
R060080,9003989,3.888770867589981
R060080,9003990,4.213908589667297
R060080,9003991,4.215776760394984
R060080,9003992,4.201585990815568
R060080,9003993,4.215445506679122
R060080,9003994,4.176799423217868
R060080,9003995,4.202625026391003
R060080,9003996,4.185684189774746
R060080,9003997,4.112165456109556
R060080,9006525,3.482341535540642
R060080,9006526,3.712751225170084
R060080,9006527,3.9234574589755296
R060080,9006528,3.931013463411379
R060080,9006529,3.907420627927135
R060080,2310328,3.9606153010651117
R060080,2310329,4.022225652997974
R060080,2310330,4.239830351295216
R060080,1532332,3.851914837257552
R060080,1542089,4.461236203674589
R060787,1008755,3.8554013227449406
R060787,1008759,3.9005445980591134
R060787,1010329,3.2360495908055302
R060787,1010924,3.298377664847078
R060787,1010987,3.5830831132117877
R060787,1011204,3.2883328093728146
R060787,2101671,3.6573789319232524
R060787,9000710,2.916814772261513
